partID; gender; age; dB; csPerm; switchPerm; trial; csThisTime; block; cs1; cs2; us; color; pattern; colorFreq; parallelCode; contRating; conRatingRT
112; f; 39; 98; 2; 1; 0; 4; 0; 4; 3; 0; red; diamonds; 15; 87; 17.0; 6.8195610999828205
112; f; 39; 98; 2; 1; 0; 2; 0; 2; 1; 0; green; diamonds; 15; 65; 17.0; 3.660835799993947
112; f; 39; 98; 2; 1; 0; 3; 0; 3; 4; 0; red; dots; 12; 34; 32.0; 6.210661299992353
112; f; 39; 98; 2; 1; 0; 1; 0; 1; 2; 0; green; dots; 12; 12; 38.0; 4.094230899994727
112; f; 39; 98; 2; 1; 1; 2; 1; 2; 1; 0; green; diamonds; 15; 65; 60.0; 2.484385299962014
112; f; 39; 98; 2; 1; 2; 4; 1; 4; 3; 0; red; diamonds; 15; 87; 53.0; 3.284278600011021
112; f; 39; 98; 2; 1; 3; 1; 1; 1; 2; 1; green; dots; 12; 12; 51.0; 2.3577687999932095
112; f; 39; 98; 2; 1; 4; 2; 1; 2; 1; 1; green; diamonds; 15; 65; 15.0; 3.1747229999746196
112; f; 39; 98; 2; 1; 5; 3; 1; 3; 4; 0; red; dots; 15; 78; 67.0; 1.9507868000073358
112; f; 39; 98; 2; 1; 6; 1; 1; 1; 2; 1; green; dots; 15; 56; 28.0; 2.2352992999949493
112; f; 39; 98; 2; 1; 7; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 48.0; 2.168584799976088
112; f; 39; 98; 2; 1; 8; 3; 1; 3; 4; 0; red; dots; 15; 78; 33.0; 2.833289100031834
112; f; 39; 98; 2; 1; 9; 3; 1; 3; 4; 0; red; dots; 12; 34; 43.0; 2.7025553999701515
112; f; 39; 98; 2; 1; 10; 2; 1; 2; 1; 0; green; diamonds; 15; 65; 52.0; 2.6090476000099443
112; f; 39; 98; 2; 1; 11; 1; 1; 1; 2; 0; green; dots; 12; 12; 40.0; 2.635598100023344
112; f; 39; 98; 2; 1; 12; 1; 1; 1; 2; 1; green; dots; 12; 12; 62.0; 2.309764300007373
112; f; 39; 98; 2; 1; 13; 4; 1; 4; 3; 0; red; diamonds; 15; 87; 42.0; 3.401127599994652
112; f; 39; 98; 2; 1; 14; 4; 1; 4; 3; 0; red; diamonds; 12; 43; 19.0; 2.7609343999647535
112; f; 39; 98; 2; 1; 15; 4; 1; 4; 3; 0; red; diamonds; 12; 43; 16.0; 2.5421636000392027
112; f; 39; 98; 2; 1; 16; 4; 1; 4; 3; 1; red; diamonds; 12; 43; 50.0; 2.377437599992845
112; f; 39; 98; 2; 1; 17; 1; 1; 1; 2; 1; green; dots; 15; 56; 63.0; 1.9423387999995612
112; f; 39; 98; 2; 1; 18; 3; 1; 3; 4; 1; red; dots; 12; 34; 52.0; 2.2928399000084028
112; f; 39; 98; 2; 1; 19; 3; 1; 3; 4; 0; red; dots; 12; 34; 30.0; 2.4503113999962807
112; f; 39; 98; 2; 1; 20; 2; 1; 2; 1; 0; green; diamonds; 15; 65; 59.0; 2.1355943999951705
112; f; 39; 98; 2; 1; 21; 4; 1; 4; 3; 1; red; diamonds; 12; 43; 28.0; 1.9686274999985471
112; f; 39; 98; 2; 1; 22; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 63.0; 2.867475699982606
112; f; 39; 98; 2; 1; 23; 4; 1; 4; 3; 0; red; diamonds; 12; 43; 18.0; 1.827555499970913
112; f; 39; 98; 2; 1; 24; 2; 1; 2; 1; 1; green; diamonds; 15; 65; 42.0; 2.10103080002591
112; f; 39; 98; 2; 1; 25; 3; 1; 3; 4; 0; red; dots; 12; 34; 32.0; 2.77440450002905
112; f; 39; 98; 2; 1; 26; 3; 1; 3; 4; 0; red; dots; 15; 78; 58.0; 2.151198800012935
112; f; 39; 98; 2; 1; 27; 1; 1; 1; 2; 0; green; dots; 12; 12; 53.0; 2.1581059000454843
112; f; 39; 98; 2; 1; 28; 3; 1; 3; 4; 1; red; dots; 12; 34; 59.0; 2.1189371999935247
112; f; 39; 98; 2; 1; 29; 1; 1; 1; 2; 1; green; dots; 15; 56; 55.0; 2.733326399989892
112; f; 39; 98; 2; 1; 30; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 40.0; 2.158975799975451
112; f; 39; 98; 2; 1; 31; 3; 1; 3; 4; 0; red; dots; 15; 78; 51.0; 2.350047599989921
112; f; 39; 98; 2; 1; 32; 4; 1; 4; 3; 0; red; diamonds; 15; 87; 48.0; 3.0102209000033326
112; f; 39; 98; 2; 1; 33; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 49.0; 1.6166608999483287
112; f; 39; 98; 2; 1; 34; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 48.0; 1.81850370002212
112; f; 39; 98; 2; 1; 35; 3; 1; 3; 4; 0; red; dots; 15; 78; 50.0; 2.8843110000016168
112; f; 39; 98; 2; 1; 36; 1; 1; 1; 2; 1; green; dots; 15; 56; 66.0; 2.14964359998703
112; f; 39; 98; 2; 1; 37; 4; 1; 4; 3; 0; red; diamonds; 15; 87; 37.0; 2.8435157000203617
112; f; 39; 98; 2; 1; 38; 1; 1; 1; 2; 1; green; dots; 12; 12; 33.0; 2.0088564000325277
112; f; 39; 98; 2; 1; 39; 4; 1; 4; 3; 0; red; diamonds; 15; 87; 55.0; 2.8250408999738283
112; f; 39; 98; 2; 1; 40; 1; 1; 1; 2; 1; green; dots; 12; 12; 51.0; 2.8024009999935515
112; f; 39; 98; 2; 1; 41; 2; 1; 2; 1; 0; green; diamonds; 12; 21; 50.0; 2.2026547000277787
