partID; gender; age; dB; csPerm; switchPerm; trial; csThisTime; block; cs1; cs2; us; color; pattern; colorFreq; parallelCode; contRating; conRatingRT
104; f; 24; 98; 3; 2; 0; 1; 0; 1; 4; 0; green; diamonds; 15; 58; 43.0; 15.87878709999859
104; f; 24; 98; 3; 2; 0; 2; 0; 2; 3; 0; green; dots; 12; 23; 38.0; 5.768930199999886
104; f; 24; 98; 3; 2; 0; 4; 0; 4; 1; 0; red; dots; 12; 41; 53.0; 3.2189244000001054
104; f; 24; 98; 3; 2; 0; 3; 0; 3; 2; 0; red; diamonds; 15; 76; 58.0; 3.018073100000038
104; f; 24; 98; 3; 2; 1; 2; 1; 2; 3; 0; green; dots; 15; 67; 36.0; 3.5184412999988126
104; f; 24; 98; 3; 2; 2; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 63.0; 4.343013199999405
104; f; 24; 98; 3; 2; 3; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 38.0; 1.926404800000455
104; f; 24; 98; 3; 2; 4; 4; 1; 4; 1; 0; red; dots; 12; 41; 36.0; 1.916604100002587
104; f; 24; 98; 3; 2; 5; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 19.0; 1.6749388999996881
104; f; 24; 98; 3; 2; 6; 2; 1; 2; 3; 0; green; dots; 15; 67; 23.0; 2.0185560999998415
104; f; 24; 98; 3; 2; 7; 2; 1; 2; 3; 0; green; dots; 15; 67; 23.0; 2.3258749000015086
104; f; 24; 98; 3; 2; 8; 2; 1; 2; 3; 1; green; dots; 12; 23; 43.0; 1.8257044999991194
104; f; 24; 98; 3; 2; 9; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 37.0; 3.3508277000000817
104; f; 24; 98; 3; 2; 10; 4; 1; 4; 1; 0; red; dots; 12; 41; 34.0; 4.083961999996973
104; f; 24; 98; 3; 2; 11; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 56.0; 1.8603413999990153
104; f; 24; 98; 3; 2; 12; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 67.0; 2.068697999999131
104; f; 24; 98; 3; 2; 13; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 72.0; 2.2429635000007693
104; f; 24; 98; 3; 2; 14; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 36.0; 1.7838775999989593
104; f; 24; 98; 3; 2; 15; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 34.0; 1.7918356000009226
104; f; 24; 98; 3; 2; 16; 1; 1; 1; 4; 0; green; diamonds; 15; 58; 53.0; 3.7772353000000294
