partID; gender; age; dB; csPerm; switchPerm; trial; csThisTime; block; cs1; cs2; us; color; pattern; colorFreq; parallelCode; contRating; conRatingRT
107; f; 25; 98; 3; 0; 0; 2; 0; 2; 4; 0; green; dots; 15; 68; 52.0; 4.334639900000184
107; f; 25; 98; 3; 0; 0; 1; 0; 1; 3; 0; green; diamonds; 12; 13; 53.0; 1.5429890000013984
107; f; 25; 98; 3; 0; 0; 4; 0; 4; 2; 0; red; dots; 12; 42; 51.0; 2.8410959000029834
107; f; 25; 98; 3; 0; 0; 3; 0; 3; 1; 0; red; diamonds; 15; 75; 51.0; 1.8261714999971446
107; f; 25; 98; 3; 0; 1; 4; 1; 4; 2; 0; red; dots; 15; 86; 43.0; 4.743560500002786
107; f; 25; 98; 3; 0; 2; 2; 1; 2; 4; 0; green; dots; 15; 68; 39.0; 2.9354791000005207
107; f; 25; 98; 3; 0; 3; 3; 1; 3; 1; 0; red; diamonds; 12; 31; 40.0; 2.459740000002057
107; f; 25; 98; 3; 0; 4; 3; 1; 3; 1; 0; red; diamonds; 12; 31; 38.0; 5.0185572000009415
107; f; 25; 98; 3; 0; 5; 2; 1; 2; 4; 0; green; dots; 15; 68; 36.0; 4.151564999996481
107; f; 25; 98; 3; 0; 6; 4; 1; 4; 2; 1; red; dots; 15; 86; 55.0; 3.9181750000025204
107; f; 25; 98; 3; 0; 7; 2; 1; 2; 4; 0; green; dots; 12; 24; 35.0; 8.435267199998634
107; f; 25; 98; 3; 0; 8; 1; 1; 1; 3; 1; green; diamonds; 12; 13; 54.0; 6.6439086999998835
107; f; 25; 98; 3; 0; 9; 2; 1; 2; 4; 0; green; dots; 15; 68; 28.0; 3.008106000001135
107; f; 25; 98; 3; 0; 10; 3; 1; 3; 1; 0; red; diamonds; 15; 75; 42.0; 4.475641500001075
107; f; 25; 98; 3; 0; 11; 4; 1; 4; 2; 0; red; dots; 15; 86; 43.0; 3.769102500002191
107; f; 25; 98; 3; 0; 12; 1; 1; 1; 3; 0; green; diamonds; 12; 13; 35.0; 3.575446999999258
107; f; 25; 98; 3; 0; 13; 4; 1; 4; 2; 0; red; dots; 12; 42; 34.0; 3.209347699998034
107; f; 25; 98; 3; 0; 14; 1; 1; 1; 3; 1; green; diamonds; 15; 57; 46.0; 7.069996300000639
107; f; 25; 98; 3; 0; 15; 3; 1; 3; 1; 0; red; diamonds; 15; 75; 48.0; 2.133460000000923
107; f; 25; 98; 3; 0; 16; 3; 1; 3; 1; 0; red; diamonds; 15; 75; 41.0; 3.0515467999975954
107; f; 25; 98; 3; 0; 17; 1; 1; 1; 3; 1; green; diamonds; 15; 57; 48.0; 3.192526999999245
107; f; 25; 98; 3; 0; 18; 4; 1; 4; 2; 0; red; dots; 15; 86; 50.0; 4.834429599999567
107; f; 25; 98; 3; 0; 19; 2; 1; 2; 4; 1; green; dots; 12; 24; 54.0; 2.0253904000019247
107; f; 25; 98; 3; 0; 20; 1; 1; 1; 3; 1; green; diamonds; 12; 13; 54.0; 4.8428664000020945
