partID; gender; age; dB; csPerm; switchPerm; trial; csThisTime; block; cs1; cs2; us; color; pattern; colorFreq; parallelCode; contRating; conRatingRT
103; f; 24; 95; 2; 2; 0; 3; 0; 3; 2; 0; red; dots; 15; 76; 47.0; 6.135411399998702
103; f; 24; 95; 2; 2; 0; 2; 0; 2; 3; 0; green; diamonds; 15; 67; 64.0; 2.1779163999599405
103; f; 24; 95; 2; 2; 0; 4; 0; 4; 1; 0; red; diamonds; 12; 41; 72.0; 8.485790400009137
103; f; 24; 95; 2; 2; 0; 1; 0; 1; 4; 0; green; dots; 12; 14; 80.0; 1.7933910999563523
103; f; 24; 95; 2; 2; 1; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 79.0; 6.177600600000005
103; f; 24; 95; 2; 2; 2; 3; 1; 3; 2; 0; red; dots; 15; 76; 92.0; 4.30110360000981
103; f; 24; 95; 2; 2; 3; 1; 1; 1; 4; 1; green; dots; 12; 14; 36.0; 6.950859699980356
103; f; 24; 95; 2; 2; 4; 1; 1; 1; 4; 0; green; dots; 15; 58; 68.0; 11.703696600045078
103; f; 24; 95; 2; 2; 5; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 94.0; 7.934442600002512
103; f; 24; 95; 2; 2; 6; 3; 1; 3; 2; 0; red; dots; 15; 76; 99.0; 6.109761500032619
103; f; 24; 95; 2; 2; 7; 3; 1; 3; 2; 0; red; dots; 12; 32; 95.0; 11.19438259996241
103; f; 24; 95; 2; 2; 8; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 76.0; 3.1339337000390515
103; f; 24; 95; 2; 2; 9; 4; 1; 4; 1; 1; red; diamonds; 12; 41; 98.0; 6.2108693000045605
103; f; 24; 95; 2; 2; 10; 1; 1; 1; 4; 1; green; dots; 12; 14; 98.0; 9.445146800018847
103; f; 24; 95; 2; 2; 11; 2; 1; 2; 3; 0; green; diamonds; 12; 23; 95.0; 4.334738600009587
103; f; 24; 95; 2; 2; 12; 2; 1; 2; 3; 0; green; diamonds; 12; 23; 68.0; 3.0585449000354856
103; f; 24; 95; 2; 2; 13; 2; 1; 2; 3; 0; green; diamonds; 12; 23; 72.0; 9.376973200007342
103; f; 24; 95; 2; 2; 14; 3; 1; 3; 2; 0; red; dots; 15; 76; 62.0; 3.9929350999882445
103; f; 24; 95; 2; 2; 15; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 88.0; 1.9584364000475034
103; f; 24; 95; 2; 2; 16; 1; 1; 1; 4; 1; green; dots; 12; 14; 61.0; 8.078305600036401
103; f; 24; 95; 2; 2; 17; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 93.0; 1.6424457000102848
103; f; 24; 95; 2; 2; 18; 2; 1; 2; 3; 1; green; diamonds; 12; 23; 67.0; 6.026790600037202
103; f; 24; 95; 2; 2; 19; 3; 1; 3; 2; 0; red; dots; 15; 76; 81.0; 3.635353999969084
103; f; 24; 95; 2; 2; 20; 1; 1; 1; 4; 1; green; dots; 12; 14; 64.0; 2.9434932000003755
103; f; 24; 95; 2; 2; 21; 3; 1; 3; 2; 0; red; dots; 15; 76; 86.0; 2.316959699965082
103; f; 24; 95; 2; 2; 22; 3; 1; 3; 2; 0; red; dots; 12; 32; 95.0; 1.7345921999658458
103; f; 24; 95; 2; 2; 23; 1; 1; 1; 4; 1; green; dots; 12; 14; 93.0; 4.134620000026189
103; f; 24; 95; 2; 2; 24; 2; 1; 2; 3; 1; green; diamonds; 15; 67; 96.0; 2.6251921000075527
103; f; 24; 95; 2; 2; 25; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 95.0; 3.374944199982565
103; f; 24; 95; 2; 2; 26; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 94.0; 2.443099500029348
103; f; 24; 95; 2; 2; 27; 4; 1; 4; 1; 1; red; diamonds; 12; 41; 77.0; 6.394298700033687
103; f; 24; 95; 2; 2; 28; 1; 1; 1; 4; 0; green; dots; 15; 58; 86.0; 2.391802700003609
103; f; 24; 95; 2; 2; 29; 3; 1; 3; 2; 0; red; dots; 15; 76; 71.0; 3.3590249000117183
103; f; 24; 95; 2; 2; 30; 2; 1; 2; 3; 0; green; diamonds; 12; 23; 68.0; 5.484629200014751
103; f; 24; 95; 2; 2; 31; 1; 1; 1; 4; 1; green; dots; 15; 58; 96.0; 6.685675500018988
103; f; 24; 95; 2; 2; 32; 4; 1; 4; 1; 0; red; diamonds; 15; 85; 46.0; 4.002922000014223
103; f; 24; 95; 2; 2; 33; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 67.0; 3.3443686999962665
103; f; 24; 95; 2; 2; 34; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 89.0; 5.034035899967421
103; f; 24; 95; 2; 2; 35; 1; 1; 1; 4; 1; green; dots; 15; 58; 99.0; 4.01791559997946
103; f; 24; 95; 2; 2; 36; 4; 1; 4; 1; 0; red; diamonds; 15; 85; 60.0; 3.725497399980668
103; f; 24; 95; 2; 2; 37; 3; 1; 3; 2; 0; red; dots; 15; 76; 68.0; 3.0423059999593534
103; f; 24; 95; 2; 2; 38; 3; 1; 3; 2; 0; red; dots; 12; 32; 61.0; 3.729352700000163
103; f; 24; 95; 2; 2; 39; 1; 1; 1; 4; 1; green; dots; 15; 58; 93.0; 4.016414200013969
103; f; 24; 95; 2; 2; 40; 4; 1; 4; 1; 0; red; diamonds; 15; 85; 60.0; 2.851169099973049
103; f; 24; 95; 2; 2; 41; 3; 1; 3; 2; 0; red; dots; 15; 76; 59.0; 1.7755669999751262
103; f; 24; 95; 2; 2; 42; 1; 1; 1; 4; 1; green; dots; 12; 14; 95.0; 1.5934054999961518
103; f; 24; 95; 2; 2; 43; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 97.0; 2.651934399968013
103; f; 24; 95; 2; 2; 44; 1; 1; 1; 4; 1; green; dots; 12; 14; 98.0; 2.9095540000125766
103; f; 24; 95; 2; 2; 45; 2; 1; 2; 3; 0; green; diamonds; 15; 67; 99.0; 2.834339299995918
103; f; 24; 95; 2; 2; 46; 3; 1; 3; 2; 0; red; dots; 15; 76; 50.0; 2.4927029999671504
103; f; 24; 95; 2; 2; 47; 4; 1; 4; 1; 0; red; diamonds; 12; 41; 55.0; 1.2867771000019275
103; f; 24; 95; 2; 2; 48; 2; 1; 2; 3; 1; green; diamonds; 15; 67; 99.0; 3.1336175000178628
103; f; 24; 95; 2; 2; 49; 1; 1; 1; 4; 1; green; dots; 15; 58; 98.0; 1.8587058000266552
103; f; 24; 95; 2; 2; 50; 1; 1; 1; 4; 1; green; dots; 15; 58; 99.0; 1.0765493999933824
